tutorialarea_shop_title,売りもの一覧
dialog_eventRewardBoxGacha_rewardUnit,個
dialog_eventRewardBoxGacha_receive,もらう
dialog_eventRewardBoxGacha_receiveReward,ごほうびをもらいました
dialog_eventRewardBoxGacha_resetFinish_message,次のごほうび箱へ進みました。
dialog_eventRewardBoxGacha_resetFinish_allReceivedMessage,ごほうび箱の中身をすべて受け取ったため、\n次のごほうび箱へ進みました。
dialog_eventRewardBoxGacha_startContinueConfirm_message,{0}{1}枚を渡して\nごほうびを{2}個もらいます。\nよろしいですか？
dialog_eventRewardBoxGacha_resetConfirm_message,ごほうび箱の中身をリセットし、\n次のごほうび箱へ進みます。\nよろしいですか？
dialog_eventRewardBoxGacha_resetConfirm_warning,※ごほうび箱リセット後に、\n　以前のごほうび箱に戻ることは出来ません
dialog_eventRewardBoxGacha_rewardList_warning,スペシャル枠のごほうびを獲得すると、すべてのごほうびを\n獲得しなくても次のごほうび箱へ進むことができます。
dialog_eventRewardBoxGacha_rewardList_emptyBoxInfo,ごほうび箱の中身を\nすべて受け取りました。\n次のごほうび箱へ進みます。
dialog_eventRewardBoxGacha_shortageMedal,{0}が足りません
dialog_eventRewardBoxGacha_retryGachaButton,もう１回もらう
dialog_eventRewardBoxGacha_remainFormat,{0}/{1}
dialog_eventRewardBoxGacha_notEnoughEventBoxGachaItem,{0}が足りません。
dialog_eventRewardBoxGacha_eventBoxGachaInvalidTerm,終了しました。
dialog_eventRewardBoxGacha_helpViewTitle,まりなさんのごほうび箱とは
dialog_confirmFriendApplicationCancel_message,フレンド申請を取り消します。\nよろしいですか？
dialog_confirmFriendApplicationCancel_title,確認
dialog_confirmFriendRelease_message,フレンドを解除します。\nよろしいですか？
dialog_confirmFriendRelease_title,確認
dialog_friendApplicationCancel_message,フレンド申請を取り消しました。
dialog_friendApplicationCancel_title,フレンド申請取り消し完了
dialog_friendInvite_inviteButton,招待
dialog_friendInvite_message,フレンドを招待します。よろしいですか？
dialog_friendInvite_title,確認
dialog_friendRelease_message,フレンド解除しました。
dialog_friendRelease_title,フレンド解除完了
dialog_friendRequestSent_title,フレンド申請完了
dialog_friendRecommend_messageCommon,\n\n他のプレイヤーにフレンド申請をして、\n承認されるとフレンドになります。
dialog_friendRecommend_messageOnCreateRoom,招待を送るフレンドがいません。\nフレンドを招待するためには、\n他のプレイヤーとフレンドになる必要があります。
dialog_friendRecommend_messageOnSearchRoom,フレンドと招待ルームでライブをするためには、\n他のプレイヤーとフレンドになる必要があります。
dialog_friendRequestSent_message,フレンド申請を送りました。
dialog_friendRequestError_messageAlreadyApplied,既に申請済みです。
dialog_friendRequestError_messageAlreadyMadeFriend,既にフレンドになっています。
dialog_friendRequestError_messageMyFriendsNumOrApplicationNumIsFull,フレンド数、または\n申請可能数に空きがありません。
dialog_friendRequestError_messageOpponentFriendsNumOrApprovalPendingNumIsFull,相手のフレンド数、または\n承認待ち可能数に空きがありません。
dialog_friendRoomSelect_comment,一言コメント
dialog_friendRoomSelect_description,フレンドからライブの招待があります。入室したいルームを選んでください。
dialog_friendRoomSelect_enteringRoom,入室
dialog_friendRoomSelect_roomCountLimit,※古い順から最大30件表示されます
dialog_friendRoomSelect_roomCreator,ルーム作成者
dialog_friendRoomSelect_title,フレンド招待ルーム選択
dialog_friendRoomSelect_notInvite,現在フレンドからのライブの招待がありません。\n\n「プライベート」からルームを作成して、\nフレンドをライブに招待することができます。
dialog_gachaConfirm_title,確認
dialog_gachaConfirm_body,{0}を消費して\n{1}を引きます。\nよろしいですか？
dialog_gachaShortage_title,{0}不足
dialog_gachaShortageTicket_body,{0}が足りません。
dialog_gachaShortageStar_body,{0}が足りません。\nスターショップへ行きますか?
dialog_gachaDetail_tabFrameOfGacha,提供割合
dialog_gachaDetail_tabFrameOfCommitment,確定枠提供割合
dialog_gachaDetail_title,ガチャ詳細
dialog_gachaDetailInformation_tabTitle,ガチャ説明
dialog_gachaDetailInformation_titleDescription,ガチャ概要
dialog_gachaDetailInformation_titleTerm,開催期間
dialog_gachaDetailInformation_titleNewMemberInfo,新メンバー紹介
dialog_gachaDetailInformation_titleStepInfo,STEP内容
dialog_gachaDetailInformation_titleSetInfo,セット内容
dialog_gachaDetailInformation_titleWarning,注意事項
dialog_gachaDetailMember_title,提供メンバー一覧
dialog_gachaDetailRarity_title,レアリティ別提供割合
dialog_gachaDetail_member,{0}メンバー
dialog_gachaPickup_title,メンバー詳細
dialog_gachaNotEnoughStarError_message,スターが足りません。
dialog_gachaNotEnoughTicketError_message,チケットが足りません。
dialog_gachaNotEnoughItemError_message,必要アイテムが足りません。
dialog_gachaNotFoundError_message,終了しました。
dialog_garupaCupSecondQualificationMusic_description1,ガルパ杯会場本予選ライブが開始します。\n1次予選突破者が東京ビッグサイトの会場本予選でプレイし、\n上位になった方が準決勝進出となります。\n※会場本予選でのプレイ結果以外は準決勝進出の対象になりません。
dialog_garupaCupSecondQualificationMusic_description2,1次予選を突破していない方でも会場本予選を体験できますので、\nぜひともプレイしてみてください。
dialog_garupaCupSecondQualificationMusic_title,ガルパ杯会場本予選ライブ
dialog_garupaCupSecondQualificationResultLiveFinish_title,会場本予選ライブ終了
dialog_garupaCupSecondQualificationResultLiveFinish_message,{0}会場本予選TOPに戻ります。\nよろしいですか？[-]\n\n{1}※東京ビッグサイトで会場本予選ライブに\n参加した1次予選突破者は、\nスタッフの集計が終わるまで、\n結果画面から進まないで下さい。[-]
dialog_garupaCupEntry_title,ガルパ杯エントリー
dialog_garupaCupEntry_descriptionTop,[505050]1次予選ライブはエントリーしなくてもプレイできます。\nガルパ杯参加希望の方は[-][FE2349]１次予選ライブを１回以上プレイした上で、\nエントリー[-][505050]する必要があります。\n１次予選終了後、合計予選ハイスコアをもとに、\nガルパ杯会場本予選の出場者の選出を行います。[-]
dialog_garupaCupEntry_descriptionResult,[505050]1次予選ライブはエントリーしなくてもプレイできます。\nガルパ杯参加希望の方はエントリーする必要があります。\n１次予選終了後、合計予選ハイスコアをもとに、\nガルパ杯会場本予選の出場者の選出を行います。[-]
dialog_garupaCupEntry_entryAt,エントリー期間：{0}まで
dialog_garupaCupEntry_confirm,ガルパ杯にエントリーしますか？
dialog_highScoreRating_noDataMessage,楽曲のプレイデータが存在しません。\n選択したバンドの楽曲をプレイしよう！
dialog_hiSpeedSetting_checkMessage,速さ確認
dialog_hiSpeedSetting_neverDisplayMessage1,次回から表示しない
dialog_hiSpeedSetting_neverDisplayMessage2,（オプションのライブ設定から変更できます）
dialog_hiSpeedSetting_title,ライブ設定
dialog_hiSpeedSetting_subTitle,リズムアイコンの速さ
dialog_itemDetail_title,アイテム詳細
dialog_inputError_characterEmpty,１文字以上入力してください。
dialog_inputError_characterLength,{0}文字以内で入力してください。
dialog_inputError_characterType,使用できない文字が含まれています。
dialog_inputError_ngWord,適切でない言葉が含まれています。\n再度入力してください。
dialog_inputError_title,入力エラー
dialog_liveBoostEmpty_title,確認
dialog_liveBoostEmpty_description,ライブブーストがありません。\nライブをクリアしてもイベントPを\n獲得できませんがよろしいですか？
dialog_liveBoostEmpty_starShopButton,スター\nショップ
dialog_liveBoostEmpty_liveButton,ライブ
dialog_liveBoostExpend_title,ライブブースト消費設定
dialog_liveBoostExpend_caption1,イベントP
dialog_liveBoostExpend_caption2,報酬・EXP
dialog_liveBoostExpend_rate,{0}倍
dialog_liveBoostExpend_settingButtonOn,設定中
dialog_liveBoostExpend_settingButtonOff,設定
dialog_liveBoostExpend_description1,※所持数が設定消費数に満たない場合、所持数すべてを消費\n   します。
dialog_liveBoostLack_title,ライブブースト確認
dialog_liveBoostLack_caption1,設定消費数
dialog_liveBoostLack_caption2,所持数
dialog_liveBoostLack_message1,ライブブーストを回復する場合は、\n回復方法を選択してください。
dialog_liveBoostLack_emptyLiveBoostDrink,所持していません
dialog_liveBoostLack_settingButton,消費設定
dialog_liveBoostLack_goButton,{0}でライブ
dialog_liveBoostLack_healLBDrinkButton,持ちもの
dialog_liveBoostLack_healLBStarButton,スター
dialog_liveBoostLackStar_title,スター不足
dialog_liveBoostLackStar_message,スターが足りません。\nスターショップへ行きますか？
dialog_liveBoostRecover_overLimitErrorMessageBefore,ライブブーストの上限を超えるため\n購入できません。
dialog_liveBoostRecover_overLimitErrorMessageAfter,ライブブーストの上限を超えるため、回復できませんでした。
dialog_liveBoostRecoverLimit_title,ライブブーストMAX
dialog_liveBoostRecoverLimit_message,ライブブーストがMAXのため、回復できません。
dialog_liveBoostRecoverNotEnoughStar_title,スター所持数不足
dialog_liveBoostRecoverNotEnoughStar_message,スターの所持数が足りません。
dialog_liveBoostRecoverConfirm_title,確認
dialog_liveBoostRecoverConfirm_message,スターを{0}個消費して\nライブブーストを{1}回復します。\nよろしいですか？
dialog_liveBoostRecoverConfirm_possessionStarCaption,所持スター
dialog_liveBoostRecoverConfirm_recoverButton,回復
dialog_liveBoostRecoverItem_title,回復量選択
dialog_liveBoostRecoverItem_message1,※ライブブーストは最大{0}まで回復できます。
dialog_liveBoostRecoverItem_message2,回復方法を選択してください。
dialog_liveBoostRecoverItem_healButton,回復
dialog_liveBoostRecoverItemCell_itemNum,x{0}
dialog_liveBoostRecoverItemConfirm_title,ライブブースト回復
dialog_liveBoostRecoverItemConfirm_message,ライブブーストを回復します。\nよろしいですか？
dialog_liveBoostRecoverItemFinish_message,ライブブーストを{0}回復しました！
dialog_liveSettings_mirror,ミラー
dialog_liveSettings_coreLightMode,軽量モード
dialog_liveSettings_coreAdjustJudgement,判定調節
dialog_liveSettings_standardRhythmIconSpeed,リズムアイコンの速さ
dialog_liveSettings_standardRhythmIconSize,リズムアイコンの大きさ
dialog_liveSettings_standardSkin,スキン
dialog_liveSettings_standardRhythmIconColored,リズムサポート
dialog_liveSettings_standardJudgementSound,判定サウンド
dialog_liveSettings_standardSimultaneousLine,同時押しライン
dialog_liveSettings_standardSkillWindow,スキルウィンドウ
dialog_liveSettings_standardTapAdjustTimingButton,タップで\n調整する
dialog_liveSettings_standardDisplaySkillEffect,スキル効果表示
dialog_liveSettings_liveBGM,楽曲
dialog_liveSettings_liveSE,ライブ中のSE
dialog_liveSettings_liveVoice,ライブ中のボイス
dialog_liveSettings_systemBGM,BGM
dialog_liveSettings_systemSE,SE
dialog_liveSettings_systemVoice,ボイス
dialog_liveSettings_systemScreenOrientation,画面固定
dialog_liveSettings_systemLiveBoostShortageConfirm,不足確認
dialog_liveSettings_tabStandardSetting,ライブ設定
dialog_liveSettings_tabLiveVolumeSetting,ライブ演出・音量設定
dialog_liveSettings_title,オプション
dialog_loadMapError_body,読み込みに失敗しました。タイトルに戻ります。
dialog_loadMapError_title,エラー
dialog_matching_description,ルームを探しています。
dialog_matching_title,マッチング中
dialog_matching_warning,※混雑時は時間がかかることがあります。
dialog_memberDecideConfirm_existNotArraivalMember,※入室待ちのメンバーがいます
dialog_memberDecideConfirm_message,{0}人でライブを開始します。よろしいですか？
dialog_menuList_title,メニュー
dialog_memorialStoryMember_title,メインメンバー
dialog_memorialStoryReleaseCondition_title,解放条件
dialog_memorialStoryReleaseCondition_conditionUserRank,ユーザーのランクが{0}で\n解放されます。
dialog_memorialStoryReleaseCondition_conditionBandRank,{0}のバンドランク{1}で\n解放されます。
dialog_memorialStoryReleaseCondition_conditionAllBandRank,全てのバンドの\nバンドランクが{0}以上で解放されます。
dialog_multiEntranceWebviewTitle,ルームタイプ
dialog_musicDetail_title,楽曲詳細
dialog_musicDetail_bandNameCaption,演奏バンド：
dialog_musicDetail_composerCaption,作曲：
dialog_musicDetail_lyricistCaption,作詞：
dialog_musicDetail_musicDetailCaption,詳細情報
dialog_missionDetail_detail,詳細
dialog_missionDetail_progress,達成度
dialog_missionDetail_timeLeft,残り時間
dialog_missionDetail_reward,報酬
dialog_missionDetail_indefinitePeriod,制限時間 なし
dialog_news_title,お知らせ
dialog_nickNameChange_message,プレイヤー名は10文字以内で入力してください。
dialog_nickNameChange_title,エラー
dialog_nickNameChanged_message,プレイヤー名を変更しました！
dialog_nickNameChanged_title,変更完了
dialog_opponentRequestApprove_message,フレンド申請を承認しました。
dialog_opponentRequestApprove_title,フレンド申請承認完了
dialog_opponentRequestReject_message,フレンド申請を拒否しました。
dialog_opponentRequestReject_title,フレンド申請拒否完了
dialog_pendingBillingExist_title,中断している購入の再開
dialog_pendingBillingExist_message,前回の購入が正常に終了していません。\nしばらくお待ち下さい。
dialog_pendingBillingFinish_title,購入処理終了
dialog_pendingBillingFinish_message,中断していた処理が終了しました。
dialog_possessionStar_labelFree,無償
dialog_possessionStar_labelPaid,有償
dialog_possessionStar_labelTotal,合計スター
dialog_possessionStar_message,[FE2349]無償スターから先に消費されます。[-]
dialog_possessionStar_title,所持スター確認
dialog_premiumPassDetail_buyableConditions,・「プレミアムハッピーBOX」は30日経過すると再度購入できます。
dialog_premiumPassDetail_receiveCount,・1日1回プレゼントは最大25回まで受け取ることができます。 
dialog_premiumPassDetail_receiveTiming,・1日1回プレゼント(無償スター)はアプリにログインした際に受け取ること\nができます。
dialog_premiumPassDetail_reset,・1日1回プレゼントは毎日4時にリセットされます。 
dialog_premiumPassDetail_revocation,・「プレミアムハッピーBOX」購入後、30日経過すると、1日1回プレゼン\nトをすべて受け取っていなくても失効するため、ご注意ください。 
dialog_premiumPassDetail_title,プレミアムハッピーＢＯＸについて
dialog_presentReceiveBulk_title,一括受け取り完了
dialog_presentReceiveBulk_description,プレゼントを受け取りました！
dialog_presentReceiveSingle_title,受け取り完了
dialog_presentReceiveSingle_description,プレゼントを受け取りました！
dialog_presentReceiveSituationAlreadyHave,獲得済みのため控え室に送られました。
dialog_presentReceiveSituationAlreadyHaveSingular,獲得済みメンバーのため、控え室に送られました。
dialog_privateRoomNotFoundError_message,指定のルームが見つかりません。
dialog_privateRoomVersionError_message,アプリバージョンが一致しないルームです。
dialog_privateRoomOverError_message,指定のルームは満員です。
dialog_privateRoomPlayingError_message,指定のルームはライブ中です。
dialog_privateRoom_copyRoomNumber,番号をコピー
dialog_privateRoom_createRoom,ルーム作成
dialog_privateRoom_typeCaption,ルームタイプ
dialog_privateRoom_nameCaption,一言コメント
dialog_privateRoom_nameLimit,最大１０文字で入力
dialog_privateRoom_numberCaption,ルーム番号
dialog_privateRoom_roomSelect,ルーム制限
dialog_privateRoom_title,プライベートルーム作成
dialog_privateRoomDenied_description,メインバンドの総合力が足りなかったため、\n指定したルームに入れませんでした。
dialog_privateRoomDenied_needPower,必要総合力
dialog_privateRoomDenied_room,ルーム
dialog_privateRoomDenied_title,総合力不足
dialog_privateRoomEntrance_createButton,作成
dialog_privateRoomEntrance_createDescription,ルームを新しく作る
dialog_privateRoomEntrance_joinButton,入室
dialog_privateRoomEntrance_joinDescription,友だちのルームに入る
dialog_privateRoomEntrance_title,プライベートルームで協力ライブ
dialog_privateRoomEntrance_titleVersus,プライベートルームで対バンライブ
dialog_privateRoomJoin_description,５桁のルーム番号を指定して友だちと協力ライブ！
dialog_privateRoomJoin_descriptionVersus,５桁のルーム番号を指定して友だちと対バンライブ！
dialog_privateRoomJoin_joinButton,入室
dialog_privateRoomJoin_title,プライベートルーム参加
dialog_privateRoomLeave_title,プライベートルーム退室
